Time,u_control_output,T_Reactor_Temperature,Ca_Concentration_Reactor,op_Cooling_Jacket_Temperature,ie_Integral_of_Error
0.000000000000000000e+00,3.000000000000000000e+02,3.244754434315989897e+02,8.772529460809700419e-01,2.500000000000000000e+02,8.158481143866329610e-01
3.333333333333333287e-02,2.500000000000000000e+02,3.210539903874181960e+02,8.777833148509553984e-01,2.500000000000000000e+02,0.000000000000000000e+00
6.666666666666666574e-02,2.500000000000000000e+02,3.177939378449736978e+02,8.791571628540204575e-01,2.500000000000000000e+02,0.000000000000000000e+00
1.000000000000000056e-01,2.500000000000000000e+02,3.147264494833665935e+02,8.811140299384584429e-01,2.500000000000000000e+02,0.000000000000000000e+00
1.333333333333333315e-01,2.500000000000000000e+02,3.118669011064122287e+02,8.834651032827367523e-01,2.500000000000000000e+02,0.000000000000000000e+00
1.666666666666666574e-01,2.500000000000000000e+02,3.092195831846203760e+02,8.860752402522621418e-01,2.500000000000000000e+02,0.000000000000000000e+00
2.000000000000000111e-01,2.500000000000000000e+02,3.067813956968976754e+02,8.888482819025830262e-01,2.500000000000000000e+02,0.000000000000000000e+00
2.333333333333333370e-01,2.500000000000000000e+02,3.045445634549996043e+02,8.917159020675285985e-01,2.500000000000000000e+02,0.000000000000000000e+00
2.666666666666666630e-01,2.500000000000000000e+02,3.024985463727602450e+02,8.946295130728433298e-01,2.500000000000000000e+02,0.000000000000000000e+00
2.999999999999999889e-01,2.500000000000000000e+02,3.006313382146642539e+02,8.975544864657767352e-01,2.500000000000000000e+02,0.000000000000000000e+00
3.333333333333333148e-01,2.500000000000000000e+02,2.989303330425485115e+02,9.004661071197461730e-01,2.613198213205178035e+02,3.565556524838294633e-02
3.666666666666666408e-01,2.613198213205178035e+02,2.981359282226900405e+02,9.033322774624039653e-01,2.697266628652738518e+02,6.213572591033207637e-02
4.000000000000000222e-01,2.697266628652738518e+02,2.979729848777807319e+02,9.061213761686640611e-01,2.714510215891662597e+02,6.756717074064225170e-02
4.333333333333333481e-01,2.714510215891662597e+02,2.979397638112541813e+02,9.088215279429202598e-01,2.718025857227855226e+02,6.867453962486061436e-02
4.666666666666666741e-01,2.718025857227855226e+02,2.979331703702279697e+02,9.114327850266178421e-01,2.718723612485079002e+02,6.889432099240098972e-02
5.000000000000000000e-01,2.718723612485079002e+02,2.979320335479376922e+02,9.139575106181325737e-01,2.718843917455794212e+02,6.893221506874357141e-02
5.333333333333333259e-01,2.718843917455794212e+02,2.979320093101077873e+02,9.163984563299694130e-01,2.718846482440173986e+02,6.893302299640707842e-02
5.666666666666666519e-01,2.718846482440173986e+02,2.979322064680587800e+02,9.187583783529243986e-01,2.718825618069618031e+02,6.892645106470732252e-02
5.999999999999999778e-01,2.718825618069618031e+02,2.979324423637994528e+02,9.210399611254872498e-01,2.718800654246849717e+02,6.891858787335156111e-02
6.333333333333333037e-01,2.718800654246849717e+02,2.979326797325300618e+02,9.232458040423269230e-01,2.718775534543947288e+02,6.891067558233125723e-02
6.666666666666666297e-01,2.718775534543947288e+02,2.979329111404875903e+02,9.253784210514049979e-01,3.459530675150285788e+02,3.022362953170802391e-01
6.999999999999999556e-01,3.459530675150285788e+02,3.028645059848089431e+02,9.273285266748074740e-01,2.937641389199932291e+02,1.378498005063685250e-01
7.333333333333332815e-01,2.937641389199932291e+02,3.038865825838768160e+02,9.290574669719865453e-01,2.829479457144968251e+02,1.037805805374394374e-01
7.666666666666666075e-01,2.829479457144968251e+02,3.040998745116617670e+02,9.306898347789541726e-01,2.806907697824788102e+02,9.667084961127472842e-02
8.000000000000000444e-01,2.806907697824788102e+02,3.041446441545101038e+02,9.322591098808760135e-01,2.802169920761598405e+02,9.517852818299651907e-02
